date,A2C,DDPG,PPO,TD3,SAC
2020-07-01,100000.0,100000.0,100000.0,100000.0,100000.0
2020-07-02,100376.84934846498,101524.06257702637,101349.78640168764,100363.01482435608,101842.5000072632
2020-07-03,43.20432893372481,206.58393933106709,27144.29139131166,104.19332167054179,217.8424984130957
2020-07-06,100681.35984651186,103612.03877331543,105605.64287092592,100808.66509291077,102640.85395776368
2020-07-07,98839.28973237611,107062.13276745606,105237.4939667511,99044.51490065003,106561.76197778322
2020-07-08,97105.70384065248,109417.31306530762,103407.95327156068,97269.62273451233,107515.94719659425
2020-07-09,98394.88088838197,109104.86604382325,105167.35505073548,98592.14502760315,109080.19837152101
2020-07-10,97343.50115815736,106636.96455456543,106972.38115852355,97507.76294752503,106900.11441003419
2020-07-13,97091.4602340851,109652.43013073731,109261.73772590638,97195.50733229065,108839.30276452638
2020-07-14,96648.6279129181,106656.592118042,107680.91879432679,96707.3506092682,105058.71076165773
2020-07-15,97857.8271316681,107508.43367077637,104743.55575721741,97881.06874494172,106635.93232690431
2020-07-16,97707.01820222475,107506.43537976075,105195.15648048402,97838.95557050324,109074.64447747804
2020-07-17,98919.5595535431,107793.533524292,108596.18701332093,99065.34422711945,108912.16831933595
2020-07-20,98932.94700471498,110764.59712292481,109813.22294013978,99080.91703443146,111874.14680444337
2020-07-21,98840.3222488556,110018.517899292,111165.69722908021,99065.30434827424,111708.09957086183
2020-07-22,98938.16595307924,108787.09053112793,112436.95093696595,99077.47295789338,110741.65188562013
2020-07-23,98370.70149079897,110168.29023815918,115052.23340766907,98412.61069898224,111052.45751916505
2020-07-24,97024.55276338197,112919.33503796387,118157.26742713929,97029.87665204621,114343.54894219972
2020-07-27,98826.66331330873,112436.57624890137,118197.60409706116,98870.06322126008,114668.687774292
2020-07-28,105658.56497041322,116285.71077038575,120051.07589118958,105747.39094190217,117627.2239223633
2020-07-29,106887.78338471986,117912.84614636231,116415.94142311097,106986.12422589875,118160.42422448732
2020-07-30,106097.944471756,114781.43061901856,116351.59983222962,106194.32831983185,115312.71646081544
2020-07-31,105359.6934951935,115820.18245007325,114901.31064002991,105464.30235700226,116616.3035656128
2020-08-03,103340.28176728822,113020.111649292,111940.34676521302,103458.008648201,114741.13501702882
