train/n_updates,train/value_loss,train/entropy_loss,train/explained_variance,time/iterations,train/policy_loss,time/fps,train/learning_rate,time/time_elapsed,train/std,time/total_timesteps,train/reward
99,0.2594762146472931,-42.63725662231445,0.0,100,-5.68170690536499,56,0.0007,8,1.002844214439392,500,-0.042397726
199,1.0273184776306152,-42.67762756347656,0.0,200,28.9212589263916,56,0.0007,17,1.0038554668426514,1000,0.22314343
299,16.639944076538086,-42.694580078125,5.960464477539063e-08,300,168.99095153808594,56,0.0007,26,1.0043467283248901,1500,-1.3621267
399,7.328367710113525,-42.76458740234375,0.0,400,-77.95413208007812,55,0.0007,35,1.0066306591033936,2000,298.4354
499,64.55314636230469,-42.739627838134766,0.0,500,86.1443099975586,55,0.0007,45,1.0058218240737915,2500,-26.367573
599,2.3363752365112305,-42.77326202392578,6.556510925292969e-07,600,-18.713855743408203,55,0.0007,54,1.0070503950119019,3000,4.1787834
699,4.532463073730469,-42.77985382080078,-2.384185791015625e-07,700,77.61553955078125,55,0.0007,63,1.0072424411773682,3500,-1.5944586
799,32.29827117919922,-42.77012634277344,-1.1920928955078125e-07,800,224.96279907226562,55,0.0007,72,1.0071933269500732,4000,-0.83696175
899,8.834901809692383,-42.757469177246094,0.0,900,-11.495144844055176,55,0.0007,81,1.006365180015564,4500,2.5612156
999,24.526630401611328,-42.70554733276367,-0.061531901359558105,1000,148.87344360351562,55,0.0007,90,1.0049493312835693,5000,5.037634
1099,1.97650146484375,-42.794185638427734,0.0,1100,9.799131393432617,55,0.0007,99,1.008052945137024,5500,-0.1947339
1199,8.109369277954102,-42.88404846191406,-1.1920928955078125e-07,1200,119.76545715332031,55,0.0007,108,1.0110621452331543,6000,-2.481694
1299,3.399385929107666,-42.941280364990234,0.0,1300,64.22217559814453,55,0.0007,117,1.012866497039795,6500,-4.1581144
1399,528.6870727539062,-43.00727462768555,0.0,1400,-910.5804443359375,55,0.0007,126,1.0153658390045166,7000,1.6713936
1499,90.15267181396484,-42.96682357788086,2.384185791015625e-07,1500,358.7112731933594,55,0.0007,135,1.0136948823928833,7500,-2.3588605
1599,4.426169395446777,-42.978755950927734,-1.1920928955078125e-07,1600,62.34843063354492,55,0.0007,144,1.0142245292663574,8000,0.11445383
