account_rewards,date
-5192.016912513645,2020-09-29
25774.615311584435,2020-09-30
-9847.558669738704,2020-10-01
16787.45077368163,2020-10-05
7503.03079675301,2020-10-06
-2398.7431262360187,2020-10-07
-8230.755931686377,2020-10-08
-18.9438332519494,2020-10-09
-3017.2857081146212,2020-10-12
4308.646566970856,2020-10-13
-2832.362179496791,2020-10-14
-4713.166259765625,2020-10-15
-4293.709045410156,2020-10-16
16085.710144042969,2020-10-19
1878.3348388671875,2020-10-20
-3678.0077514648438,2020-10-21
17345.73419189453,2020-10-22
-28033.395935058594,2020-10-23
39052.62432861328,2020-10-26
-8719.200273239054,2020-10-27
11280.256225723308,2020-10-28
-10974.482757568476,2020-10-29
-16869.157695587142,2020-10-30
2539.553172241198,2020-11-02
5078.118650467019,2020-11-03
24986.131774902227,2020-11-04
-8882.336921691895,2020-11-05
6219.770942687988,2020-11-06
-4373.161163330078,2020-11-09
-88.42411444080062,2020-11-10
-2874.314483642578,2020-11-11
2551.5623779296875,2020-11-12
2882.4695676269475,2020-11-13
5571.383911346318,2020-11-14
9078.357489410555,2020-11-17
-12254.484191894531,2020-11-18
2740.0606384277344,2020-11-19
8088.072235107422,2020-11-20
9699.411346435547,2020-11-23
-21314.389404296875,2020-11-24
6775.8143310546875,2020-11-25
20330.268157958984,2020-11-26
10814.062042236328,2020-11-27
32829.454986572266,2020-12-01
31096.099090576172,2020-12-02
12365.668487548828,2020-12-03
10810.814392089844,2020-12-04
-8731.350531005999,2020-12-07
18880.954650878906,2020-12-08
1005.7371715088375,2020-12-09
2047.5566711425781,2020-12-10
6707.586833435111,2020-12-11
-4649.6602783203125,2020-12-14
18476.993225097656,2020-12-15
-4778.869720458984,2020-12-16
8274.147105651908,2020-12-17
-32625.234323303215,2020-12-18
19035.92898761737,2020-12-21
14113.189804077148,2020-12-22
7560.388572692871,2020-12-23
15209.814831008902,2020-12-24
2860.43540112325,2020-12-28
