date,ASIANPAINT.BO,AXISBANK.BO,BAJAJ-AUTO.BO,BAJAJFINSV.BO,BAJFINANCE.BO,BHARTIARTL.BO,DRREDDY.BO,HCLTECH.BO,HDFCBANK.BO,HINDUNILVR.BO,ICICIBANK.BO,INDUSINDBK.BO,INFY.BO,ITC.BO,JSWSTEEL.BO,KOTAKBANK.BO,LT.BO,M&M.BO,MARUTI.BO,NESTLEIND.BO,NTPC.BO,ONGC.BO,POWERGRID.BO,RELIANCE.BO,SBIN.BO,SUNPHARMA.BO,TCS.BO,TECHM.BO,TITAN.BO,ULTRACEMCO.BO
2022-01-05,0,0,0,62,100,0,0,100,0,0,0,-1,0,0,-4,0,0,-16,-90,0,96,7,0,-45,0,0,0,0,0,-25
2022-01-06,0,100,0,-9,-46,50,0,-25,0,0,0,0,0,0,0,0,0,-84,0,82,5,-6,0,-55,0,-21,100,0,0,0
2022-01-07,-35,0,0,-65,-54,-50,0,-70,0,0,0,0,100,0,0,0,0,0,44,-17,100,-1,3,100,0,0,-64,2,100,0
2022-01-10,100,-82,0,27,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3,-84,0,0,-36,-2,0,0
2022-01-11,0,0,0,-30,0,-2,0,1,0,0,0,0,0,100,0,0,0,0,0,-1,100,0,100,-16,0,0,0,0,17,0
2022-01-12,0,0,0,0,0,0,3,-6,2,0,0,0,0,-15,1,0,0,0,0,0,0,0,-46,0,0,0,0,0,0,0
2022-01-13,-23,-18,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,18,-70,0,1,0,1,0,0,0,0,0
2022-01-14,-63,1,100,-20,0,0,0,0,-2,0,0,0,-76,-5,0,47,0,0,-44,0,-55,0,-55,100,0,100,0,0,0,0
2022-01-17,-13,37,-90,0,0,86,26,0,68,0,0,100,100,-56,-99,-30,11,0,0,-41,-50,0,0,-100,100,34,0,0,-60,0
2022-01-18,25,-38,-10,0,0,-73,-29,0,-42,0,0,0,-56,-24,3,81,-11,0,0,-8,100,0,0,0,-70,-70,0,0,-53,95
2022-01-19,-26,7,100,0,0,0,0,0,-26,0,0,0,-68,0,77,-44,100,0,4,100,1,77,0,0,-31,0,0,96,-4,-82
2022-01-20,0,-7,0,0,0,-13,0,0,0,0,0,0,0,2,0,-54,-12,0,46,-100,-100,-8,1,0,0,-64,0,2,0,0
2022-01-21,0,0,-18,2,0,0,0,0,0,0,0,0,0,-2,-10,0,-45,0,0,0,-63,-69,7,0,0,0,0,0,0,23
2022-01-24,0,100,-31,-2,0,1,0,0,0,86,100,-100,0,0,89,0,-43,0,-50,100,4,95,-8,44,0,0,0,0,0,-2
2022-01-25,0,0,-51,100,0,-1,0,100,0,0,0,0,0,0,100,0,0,0,0,-100,-14,-6,7,62,0,0,0,-91,0,0
2022-01-27,0,-34,0,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-37,0,1,92,100,0,-34
2022-01-28,0,94,0,-26,0,0,0,0,0,0,-39,0,100,0,100,0,0,0,0,0,-55,-89,0,0,0,-1,-20,-100,0,0
